,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
21,Just A Dream,Nelly,5,78,12,https://open.spotify.com/track/3ZdJffjzJWFimSQyxgGIxN,0.0421,0.531,-6.161,0.103,0.752,0.12,89.917,False,0.0,237800,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",gangster rap,Hip-Hop,2010
22,Teenage Dream,Katy Perry,Teenage Dream,77,12,https://open.spotify.com/track/5jzKL4BDMClWqRguW5qZvh,0.0162,0.719,-4.582,0.591,0.798,0.134,120.011,False,2.34e-06,227741,pop,pop,Pop,2010
23,OMG (feat. will.i.am),Usher  & will.i.am,Raymond v Raymond (Expanded Edition),77,22,https://open.spotify.com/track/1bM50INir8voAkVoKuvEUI,0.198,0.781,-5.81,0.326,0.745,0.36,129.998,False,1.14e-05,269493,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",contemporary r&b,R&B,2010
24,What You Know,Two Door Cinema Club,Tourist History,77,10,https://open.spotify.com/track/3GBApU0NuzH4hKZq4NOSdA,0.00073,0.563,-4.239,0.775,0.739,0.0822,139.0,False,1.45e-05,191707,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie",indietronica,Indie,2010
25,Billionaire (feat. Bruno Mars),Travie McCoy  & Bruno Mars,Billionaire (feat. Bruno Mars),76,1,https://open.spotify.com/track/2M9ULmQwTaTGmAdXaXpfz5,0.297,0.633,-6.403,0.659,0.673,0.206,86.776,True,0.0,211160,pop rap,pop rap,Hip-Hop,2010
26,Telephone,Lady Gaga  & Beyoncé,The Fame Monster (Deluxe Edition),76,23,https://open.spotify.com/track/4TCL0qqKyqsMZml0G3M9IM,0.00521,0.824,-5.903,0.716,0.836,0.112,122.014,False,0.000817,220640,"art pop, dance pop, pop",dance pop,Pop,2010
27,Replay,Iyaz,Replay,76,1,https://open.spotify.com/track/5vlEg2fT4cFWAqU5QptIpQ,0.173,0.706,-6.323,0.195,0.751,0.168,91.031,False,0.0,182307,"dance pop, pop rap, post-teen pop",pop rap,Hip-Hop,2010
28,Break Your Heart,Taio Cruz,The Rokstarr Hits Collection,76,15,https://open.spotify.com/track/7ElF5zxOwYP4qVSWVvse3W,0.0327,0.607,-4.217,0.568,0.934,0.0909,122.01,False,0.0,201547,"dance pop, pop, pop rap",pop,Pop,2010
29,Nothin' on You (feat. Bruno Mars),B.o.B  & Bruno Mars,B.o.B Presents: The Adventures of Bobby Ray,78,12,https://open.spotify.com/track/59dLtGBS26x7kc0rHbaPrq,0.386,0.688,-5.814,0.743,0.853,0.0862,103.993,False,0.0,268320,"atl hip hop, dance pop, pop rap, rap, southern hip hop",dance pop,Pop,2010
30,What's My Name?,Rihanna  & Drake,Loud (Japan Version),75,13,https://open.spotify.com/track/6DkXLzBQT7cwXmTyzAB1DJ,0.182,0.689,-2.972,0.561,0.784,0.0843,99.954,True,0.0,263173,"barbadian pop, pop, urban contemporary",pop,Pop,2010
31,Bottoms Up (feat. Nicki Minaj),Trey Songz  & Nicki Minaj,"Passion, Pain & Pleasure (Deluxe Version)",75,20,https://open.spotify.com/track/4AYX69oFP3UOS1CFmV9UfO,0.0205,0.844,-5.283,0.331,0.601,0.385,73.989,True,0.0,242013,"dance pop, r&b, southern hip hop, trap, urban contemporary",r&b,R&B,2010
32,Empire State of Mind (Part II) Broken Down,Alicia Keys,The Element Of Freedom,75,14,https://open.spotify.com/track/5sra5UY6sD658OabHL3QtI,0.74,0.484,-7.784,0.142,0.368,0.118,92.923,False,3.82e-05,216480,"neo soul, pop, r&b",pop,Pop,2010
33,Back To December,Taylor Swift,Speak Now,74,14,https://open.spotify.com/track/3DrjZArsPsoqbLzUZZV1Id,0.117,0.529,-4.663,0.286,0.67,0.334,141.893,False,0.0,293027,pop,pop,Pop,2010
34,Over,Drake,Thank Me Later,74,14,https://open.spotify.com/track/6BdgtqiV3oXNqBikezwdvC,0.0107,0.35,-5.614,0.45,0.845,0.123,99.643,True,0.0,233560,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",canadian pop,Pop,2010
35,Alejandro,Lady Gaga,The Fame Monster (Deluxe Edition),75,23,https://open.spotify.com/track/1HHeOs6zRdF8Ck58easiAY,0.000397,0.623,-6.63,0.36,0.793,0.375,98.998,False,0.0015,274213,"art pop, dance pop, pop",dance pop,Pop,2010
36,Animal,Neon Trees,Habits,74,8,https://open.spotify.com/track/1fBl642IhJOE5U319Gy2Go,0.000346,0.482,-5.611,0.74,0.833,0.365,148.039,False,0.0,212293,"modern rock, neo mellow, pop rock, pov: indie",neo mellow,Rock,2010
37,The Time (Dirty Bit),Black Eyed Peas,The Beginning (Deluxe),73,15,https://open.spotify.com/track/7vWFaMq63AwkFDhS2OAg5u,0.0662,0.816,-7.798,0.436,0.813,0.602,127.979,False,2.77e-06,307640,"dance pop, pop, pop rap",pop,Pop,2010
38,Like A G6,Far East Movement  & The Cataracs  & DEV,Free Wired,73,10,https://open.spotify.com/track/4DvhkX2ic4zWkQeWMwQ2qf,0.00676,0.435,-8.126,0.778,0.837,0.117,124.913,False,0.0,216893,"asian american hip hop, dance pop, pop rap",dance pop,Pop,2010
39,BedRock,Young Money  & Lloyd,We Are Young Money,73,15,https://open.spotify.com/track/3iL2l5gUqyPS6vDwJFgJTR,0.102,0.733,-6.163,0.557,0.664,0.191,148.005,True,0.0,288133,"dirty south rap, pop rap, rap, southern hip hop, trap",pop rap,Hip-Hop,2010
40,Your Love Is My Drug,Kesha,Animal (Expanded Edition),73,18,https://open.spotify.com/track/6vc2Jq2vaGu8z326kSrw92,0.00681,0.826,-3.891,0.756,0.612,0.0889,120.057,False,0.0,187133,"dance pop, pop",pop,Pop,2010
