,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
23,Godzilla (feat. Juice WRLD),Eminem  & Juice WRLD,Music To Be Murdered By,85,20,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,0.145,0.808,-5.26,0.829,0.745,0.292,165.995,TRUE,0,210800,"detroit hip hop, hip hop, rap",hip hop,Hip-Hop,2020
24,Life Is Good (feat. Drake),Future  & Drake,High Off Life,76,21,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3,0.067,0.795,-6.903,0.537,0.574,0.15,142.053,TRUE,0,237918,"atl hip hop, hip hop, rap, southern hip hop, trap",hip hop,Hip-Hop,2020
25,Intentions (feat. Quavo),Justin Bieber  & Quavo,Changes,78,17,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,0.3,0.806,-6.637,0.874,0.546,0.102,147.986,FALSE,0,212867,"canadian pop, pop",pop,Pop,2020
26,No Idea,Don Toliver,Heaven Or Hell,83,12,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU,0.524,0.652,-5.718,0.35,0.631,0.165,127.998,FALSE,0.000579,154424,"rap, trap",trap,Hip-Hop,2020
27,Roses - Imanbek Remix,SAINt JHN  & Imanbek,Roses (Imanbek Remix),61,1,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,0.0149,0.785,-5.457,0.894,0.721,0.285,121.962,TRUE,0.00432,176219,"melodic rap, slap house",slap house,Hip-Hop,2020
28,Come & Go (with Marshmello),Juice WRLD  & Marshmello,Come & Go (with Marshmello),62,1,https://open.spotify.com/track/4Lxseh0wN7N0ljiOh8KwbU,0.0173,0.625,-5.183,0.532,0.811,0.16,144.994,TRUE,0,205485,"chicago rap, melodic rap, rap",melodic rap,Hip-Hop,2020
29,UN DIA (ONE DAY) (Feat. Tainy),J Balvin  & Dua Lipa  & Bad Bunny  & Tainy,UN DIA (ONE DAY) (Feat. Tainy),75,1,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,0.00536,0.571,-8.234,0.393,0.693,0.173,168.169,FALSE,0,232253,"reggaeton, reggaeton colombiano, trap latino, urbano latino",reggaeton colombiano,Reggaeton,2020
30,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes  & Justin Bieber,Monster,73,1,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1,0.0676,0.652,-7.076,0.549,0.383,0.0828,145.765,FALSE,0,178994,"canadian pop, pop, viral pop",pop,Pop,2020
31,you broke me first,Tate McRae,you broke me first,85,1,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,0.785,0.667,-9.389,0.0823,0.373,0.0906,124.148,TRUE,0,169266,"alt z, pop",pop,Pop,2020
32,Break My Heart,Dua Lipa,Break My Heart,68,1,https://open.spotify.com/track/1raaNykBg1bDnWENUiglUA,0.167,0.73,-3.434,0.467,0.729,0.349,113.012,FALSE,1.39E-06,221820,"dance pop, pop, uk pop",pop,Pop,2020
33,Party Girl,StaySolidRocky,Party Girl,75,1,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l,0.749,0.728,-9.966,0.629,0.431,0.0996,130.022,FALSE,0,147800,melodic rap,melodic rap,Hip-Hop,2020
34,For The Night (feat. Lil Baby & DaBaby),Pop Smoke  & Lil Baby  & DaBaby,Shoot For The Stars Aim For The Moon,82,19,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,0.114,0.823,-6.606,0.347,0.586,0.193,125.971,TRUE,0,190476,"brooklyn drill, rap",rap,Hip-Hop,2020
35,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,86,1,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,0.0546,0.598,-8.764,0.0605,0.427,0.21,76.469,TRUE,5.83E-06,175721,"hip hop, rap, slap house",rap,Hip-Hop,2020
36,Adore You,Harry Styles,Fine Line,88,12,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,0.0237,0.676,-3.675,0.569,0.771,0.102,99.048,FALSE,7.00E-06,207133,pop,pop,Pop,2020
37,Supalonely (feat. Gus Dapperton),BENEE  & Gus Dapperton,Hey u x,64,13,https://open.spotify.com/track/3GZoWLVbmxcBys6g0DLFLf,0.291,0.862,-4.746,0.841,0.631,0.123,128.978,TRUE,0.000209,223488,"alt z, nz pop",nz pop,Pop,2020
38,ily (i love you baby) (feat. Emilee),Surf Mesa  & Emilee,ily (i love you baby) (feat. Emilee),80,1,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,0.0686,0.674,-7.567,0.33,0.774,0.393,112.05,FALSE,0.00188,176547,pop edm,pop edm,Pop,2020
39,Rare,Selena Gomez,Rare,66,13,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19,0.208,0.838,-6.713,0.631,0.545,0.103,114.998,FALSE,8.01E-05,220590,"pop, post-teen pop",post-teen pop,Pop,2020
40,If the World Was Ending (feat. Julia Michaels),JP Saxe  & Julia Michaels,If the World Was Ending (feat. Julia Michaels),80,1,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,0.866,0.464,-10.086,0.604,0.473,0.109,75.801,FALSE,0,208687,"alt z, canadian contemporary r&b, singer-songwriter pop",canadian contemporary r&b,R&B,2020
41,Holy (feat. Chance The Rapper),Justin Bieber  & Chance the Rapper,Holy,74,1,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,0.196,0.673,-8.056,0.372,0.704,0.0898,86.919,FALSE,0,212093,"canadian pop, pop",pop,Pop,2020
42,Ride It,Regard,Ride It,83,1,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,0.177,0.88,-4.258,0.884,0.751,0.106,117.948,FALSE,6.43E-05,157606,"pop dance, pop edm, slap house, uk dance",pop edm,Pop,2020
43,Savage Love (Laxed - Siren Beat),Jawsh 685  & Jason Derulo,Savage Love (Laxed - Siren Beat),78,1,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,0.234,0.767,-8.52,0.761,0.481,0.269,150.076,TRUE,0,171375,nz pop,nz pop,Pop,2020
44,Prisoner (feat. Dua Lipa),Miley Cyrus  & Dua Lipa,Prisoner (feat. Dua Lipa),4,1,https://open.spotify.com/track/5JqZ3oqF00jkT81foAFvqg,0.0103,0.781,-3.912,0.595,0.67,0.0761,127.99,FALSE,0,169333,pop,pop,Pop,2020
45,Savage Remix (feat. Beyoncé),Megan Thee Stallion  & Beyoncé,Savage Remix (feat. Beyoncé),70,1,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,0.016,0.822,-4.772,0.636,0.743,0.127,84.459,TRUE,0,242001,"houston rap, pop, rap, trap queen",pop,Pop,2020
46,Toosie Slide,Drake,Toosie Slide,76,1,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.321,0.834,-9.75,0.837,0.454,0.114,81.618,TRUE,6.15E-06,247059,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",canadian pop,Pop,2020
47,After Hours,The Weeknd,After Hours,88,14,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag,0.0811,0.664,-6.099,0.143,0.572,0.121,108.959,FALSE,0.00604,361027,"canadian contemporary r&b, canadian pop, pop",canadian pop,Pop,2020
48,POPSTAR (feat. Drake),DJ Khaled  & Drake,POPSTAR (feat. Drake),76,1,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,0.057,0.8,-4.818,0.45,0.56,0.134,163.071,TRUE,0,200221,"hip hop, miami hip hop, pop rap, rap",miami hip hop,Hip-Hop,2020
49,How You Like That,BLACKPINK,How You Like That,1,1,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,0.0694,0.828,-4.014,0.351,0.782,0.0544,130.013,FALSE,3.41E-05,181264,"k-pop, k-pop girl group, pop",k-pop girl group,K-Pop,2020
50,Midnight Sky,Miley Cyrus,Midnight Sky,5,1,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,0.00115,0.705,-5.466,0.259,0.814,0.203,110,FALSE,0.00312,223279,pop,pop,Pop,2020
51,Yummy,Justin Bieber,Yummy,69,1,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,0.366,0.687,-6.612,0.494,0.514,0.116,145.921,FALSE,0,210427,"canadian pop, pop",pop,Pop,2020
52,Don't Start Now,Dua Lipa,Don't Start Now,80,1,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,0.0125,0.794,-4.521,0.677,0.793,0.0952,123.941,FALSE,0,183290,"dance pop, pop, uk pop",pop,Pop,2020
53,Circles,Post Malone,Hollywood's Bleeding,90,17,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,0.192,0.695,-3.497,0.553,0.762,0.0863,120.042,FALSE,0.00244,215280,"dfw rap, melodic rap, pop, rap",melodic rap,Hip-Hop,2020
54,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),88,15,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,0.604,0.459,-4.858,0.183,0.575,0.0885,111.881,FALSE,0,215107,"pop, uk pop",uk pop,Pop,2020
55,You should be sad,Halsey,Manic,74,16,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,0.143,0.591,-6.35,0.324,0.585,0.109,110.94,TRUE,0,205473,"electropop, etherpop, indie poptimism, pop",etherpop,Pop,2020
56,Dance Monkey,Tones And I,Dance Monkey,65,1,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,0.688,0.826,-6.401,0.541,0.593,0.17,98.083,FALSE,0.000161,209755,australian pop,australian pop,Pop,2020
57,Memories,Maroon 5,Memories,31,1,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,0.837,0.764,-7.209,0.575,0.32,0.0822,91.019,FALSE,0,189486,pop,pop,Pop,2020
