,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
25,Big Pimpin',JAY-Z  & UGK,Vol. 3... Life And Times Of S. Carter,74,16.0,https://open.spotify.com/track/7m97yKVzPpXV9Z4ezEziOD,0.168,0.88,-6.307,0.942,0.814,0.0584,138.083,True,0.00672,283067,"east coast hip hop, gangster rap, hip hop, pop rap, rap",gangster rap,Hip-Hop,2000
26,Sandstorm,Darude,"Before the Storm, Special Edition",74,20.0,https://open.spotify.com/track/6Sy9BUbgFse0n0LPA5lwy5,0.141,0.528,-7.984,0.587,0.965,0.0797,136.065,False,0.985,225493,"eurodance, finnish edm",finnish edm,EDM,2000
27,7 Days,Craig David,Born to Do It,74,12.0,https://open.spotify.com/track/0gPQTLaqHDgdupKEok7J2x,0.23,0.659,-7.499,0.888,0.812,0.0951,83.014,False,0.0,235133,british soul,british soul,R&B,2000
28,Amazed,Lonestar,Lonely Grill,74,12.0,https://open.spotify.com/track/6qc34bnVOyqGDPni8H5W0U,0.26,0.561,-8.498,0.243,0.543,0.124,139.803,False,0.0,240867,"contemporary country, country, country road",country,Country,2000
29,My Love,Westlife,Coast To Coast (Expanded Edition),73,19.0,https://open.spotify.com/track/5p0ietGkLNEqx1Z7ijkw5g,0.098,0.491,-5.975,0.328,0.593,0.257,144.142,False,0.0,231760,boy band,boy band,Pop,2000
30,Country Grammar (Hot Shit),Nelly,Country Grammar,73,17.0,https://open.spotify.com/track/3wMUvT6eIw2L5cZFG1yH9j,0.00689,0.865,-6.822,0.565,0.664,0.142,162.831,True,0.0,287000,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",gangster rap,Hip-Hop,2000
31,Breathless,The Corrs,In Blue,73,15.0,https://open.spotify.com/track/5OQGeJ1ceykovrykZsGhqL,0.0541,0.607,-7.754,0.768,0.82,0.269,126.988,False,6.8e-05,207507,"celtic rock, europop, pop rock",europop,Pop,2000
32,It's Gonna Be Me,*NSYNC,No Strings Attached,73,12.0,https://open.spotify.com/track/2AW37v0bDyuOzGP3XnmFuA,0.0407,0.636,-4.672,0.908,0.873,0.0372,165.071,False,1.27e-06,192427,"boy band, dance pop, pop",dance pop,Pop,2000
33,Show Me the Meaning of Being Lonely,Backstreet Boys,Millennium,72,12.0,https://open.spotify.com/track/3BsaRV5QIulYz2lV9WWa8T,0.231,0.63,-5.088,0.683,0.625,0.0765,167.998,False,0.0,234960,"boy band, dance pop, pop",dance pop,Pop,2000
34,Can't Fight The Moonlight,LeAnn Rimes,I Need You,72,15.0,https://open.spotify.com/track/2AogRMqARWyUP7VQ3gmSoY,0.403,0.628,-6.341,0.626,0.834,0.051,97.865,False,0.0,215507,"contemporary country, country, country dawn, country road",country,Country,2000
35,He Wasn't Man Enough,Toni Braxton,The Heat,71,12.0,https://open.spotify.com/track/7f1Dmr246cJ9uQYdbplTbh,0.00916,0.739,-1.916,0.766,0.947,0.326,88.009,False,3.14e-05,261933,"contemporary r&b, dance pop, r&b, urban contemporary",dance pop,Pop,2000
36,Absolutely (Story of a Girl) - Radio Mix,Nine Days,The Madding Crowd,71,12.0,https://open.spotify.com/track/3mNecsYFb6LQg7822DPXCP,0.000891,0.481,-5.204,0.66,0.94,0.0939,96.493,False,0.0,189333,pop rock,pop rock,Pop,2000
37,Try Again,Aaliyah,Aaliyah,71,15.0,https://open.spotify.com/track/6Wnlq1Pu3I0BajLvxn05Vr,0.0789,0.794,-4.913,0.683,0.662,0.0937,93.053,False,0.0,284640,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary",dance pop,Pop,2000
38,Lucky,Britney Spears,Oops!... I Did It Again,71,12.0,https://open.spotify.com/track/2TTYIwTM2iLC1YOyHuhRMt,0.262,0.765,-5.707,0.966,0.791,0.0669,95.026,False,0.000154,206227,"dance pop, pop",pop,Pop,2000
39,I Wanna Know,Joe,My Name Is Joe,70,14.0,https://open.spotify.com/track/1m2xMsxbtxv21Brome189p,0.26,0.725,-5.959,0.599,0.487,0.431,136.086,False,1.09e-05,296693,"contemporary r&b, r&b, urban contemporary",r&b,R&B,2000
40,"Independent Women, Pt. 1",Destiny's Child,Survivor,70,15.0,https://open.spotify.com/track/69XUpOpjzDKcfdxqZebGiI,0.362,0.73,-3.782,0.927,0.602,0.169,97.954,False,3.69e-06,221133,"dance pop, girl group, pop, r&b, urban contemporary",girl group,R&B,2000
41,Sexbomb,Tom Jones  & Mousse T.,Reload,70,19.0,https://open.spotify.com/track/7GHKA8GIMcND6c5nN1sFnD,0.144,0.801,-3.94,0.932,0.876,0.104,122.979,False,1.38e-05,211893,"adult standards, british invasion",british invasion,Pop,2000
42,This I Promise You,*NSYNC,No Strings Attached,70,12.0,https://open.spotify.com/track/46n2EGFnPC3tzWCN1Aqe26,0.354,0.55,-6.279,0.466,0.587,0.128,165.975,False,0.0,284760,"boy band, dance pop, pop",dance pop,Pop,2000
43,Who Let The Dogs Out,Baha Men,Who Let The Dogs Out,69,12.0,https://open.spotify.com/track/1H5tvpoApNDxvxDexoaAUo,0.0605,0.869,-4.505,0.784,0.887,0.148,129.221,False,0.0,198400,bahamian pop,bahamian pop,Pop,2000
44,With Arms Wide Open,Creed,Human Clay,69,12.0,https://open.spotify.com/track/0eKyHwckh9vQb8ncZ2DXCs,0.00425,0.41,-8.412,0.141,0.539,0.117,138.852,False,0.00089,274800,"alternative metal, nu metal, post-grunge, rock",nu metal,Heavy Metal,2000
