,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
42,Hard Luck Blues,Roy Brown,Presenting Roy Brown,15,49,https://open.spotify.com/track/1KvTKwW5bnTlPHZCfIN3VI,0.834,0.47,-11.061,0.388,0.156,0.169,139.09,False,1.01e-05,182320,['jump blues'],jump blues,Blues,1950
43,Well Oh Well,Tiny Bradshaw & His Orchestra,"Heavy Juice, The King Recordings 1950-55",8,32,https://open.spotify.com/track/7ChX0DDPbcwJf8lf7MDTSw,0.589,0.69,-3.903,0.809,0.904,0.0992,107.083,False,0.0,161347,[],rhythm and blues,R&B,1950
44,Rag Mop,Doc Sausage & His Mad Lads,Rag Mop,2,1,https://open.spotify.com/track/1DiAixCb56JrefEc8XfzEj,0.836,0.838,-9.137,0.909,0.554,0.354,93.983,False,0.0,162064,[],jump blues,Blues,1950
45,Cupid's Boogie,Johnny Otis,"Johnny Otis And The Good Time Blues, Vol. 1",22,10,https://open.spotify.com/track/1ttHcbRFqgGJOOZUq9fRcD,0.788,0.716,-13.481,0.864,0.181,0.123,120.03,False,2.08e-05,157773,"['jazz blues', 'jump blues', 'rhythm and blues']",jump blues,Blues,1950
46,Do Something For Me,The Dominoes,18 Greatest Hits - Volume Two,7,18,https://open.spotify.com/track/5SITNw9ytUg5ssOtl6xd2h,0.987,0.303,-15.654,0.415,0.147,0.099,67.524,False,1.92e-05,178933,['rhythm and blues'],rhythm and blues,R&B,1950
47,I Will Wait,Four Buddies,The Roots of Doo-Wop: Savoy Vocal Groups,4,20,https://open.spotify.com/track/4Al3Ih5a30iIgEUXEymy6D,0.932,0.327,-12.909,0.543,0.182,0.116,167.924,False,1.42e-06,142973,[],dpo-wop,R&B,1950
48,Nobody's Lonesome For Me,Drifting Cowboys,Ramblinâ Man (Undubbed Edition),31,12,https://open.spotify.com/track/4s43nq3XteEVvxqHypUBN7,0.651,0.723,-10.692,0.95,0.332,0.142,139.211,False,0.0,153200,"['country', 'honky tonk', 'traditional country', 'yodeling']",honky tonk,Country,1950
49,The Fat Man,Fats Domino,Fats Domino Swings,42,12,https://open.spotify.com/track/0ImWszBg2sQEInlAWaug31,0.954,0.448,-10.353,0.817,0.537,0.109,124.841,False,0.759,163093,"['louisiana blues', 'new orleans blues', 'piano blues', 'rock-and-roll', 'rockabilly']",new orleans blues,Blues,1950
50,"Cold, Cold Heart",Drifting Cowboys,The Complete Hank Williams,36,225,https://open.spotify.com/track/7JKQQgFNw5RXiJBuLf7dXe,0.898,0.574,-12.076,0.522,0.164,0.167,113.004,False,0.0,163240,"['country', 'honky tonk', 'traditional country', 'yodeling']",honky tonk,Country,1951
51,Sixty Minute Man,Billy Ward,Sixty Minute Man,39,16,https://open.spotify.com/track/3k8m9Qdfr023iC89zsAjS4,0.847,0.673,-12.849,0.736,0.589,0.079,131.387,False,0.0,154267,['vocal harmony group'],vocal harmony group,Easy Listening,1951
52,Rocket 88 - Single Version,Jackie Brenston & His Delta Cats,Chess Pieces: The Very Best Of Chess Records,33,48,https://open.spotify.com/track/0qWGLMQwo57IabwNksvwGa,0.815,0.527,-7.495,0.779,0.606,0.113,78.013,False,0.00895,169720,['rock-and-roll'],rock-and-roll,Rock,1951
53,Dust My Broom,Elmore James,Shake Your Money Maker: The Best Of The Fire Sessions,46,16,https://open.spotify.com/track/0fM0mFxHP1R4KPX1PB8tWU,0.0115,0.507,-4.957,0.696,0.66,0.322,100.783,False,0.336,175040,"['blues', 'chicago blues', 'delta blues', 'electric blues', 'traditional blues']",chicago blues,Blues,1951
54,Cry,Johnnie Ray,16 Most Requested Songs,50,16,https://open.spotify.com/track/4wnFpRgQu2gLN8d76dYOGr,0.849,0.479,-15.5,0.35,0.0952,0.657,69.784,False,0.0,181693,"['adult standards', 'deep adult standards', 'rock-and-roll']",deep adult standards,Alternative,1951
55,Too Young,Nat King Cole,The Nat King Cole Story,49,36,https://open.spotify.com/track/0zII0Soax7wbm3Avw7iVAd,0.805,0.201,-14.531,0.203,0.213,0.126,96.324,False,8.22e-05,204627,"['adult standards', 'lounge', 'soul', 'swing', 'vocal jazz']",lounge,Jazz,1951
56,Glory Of Love,The Five Keys,The Best Of The Aladdin Years,22,25,https://open.spotify.com/track/190puC1s7DQJWaDhtPQQrb,0.992,0.302,-14.397,0.252,0.0807,0.0968,178.837,False,7.66e-06,189360,"['doo-wop', 'rhythm and blues', 'vocal harmony group']",rhythm and blues,R&B,1951
57,Three O'Clock Blues,B.B. King,The Essential Blue Archive: Take a Swing with Me,38,20,https://open.spotify.com/track/4GnCQfhL41HMe2pgx4bK9T,0.931,0.552,-9.986,0.581,0.352,0.251,71.064,False,5.54e-05,180333,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",blues rock,Blues,1951
58,"Hey, Good Lookin'",Drifting Cowboys,The Complete Hank Williams,53,225,https://open.spotify.com/track/0F76EzCOmno4KJviO7iGNq,0.801,0.785,-9.963,0.913,0.365,0.0662,141.167,False,0.0,174293,"['country', 'honky tonk', 'traditional country', 'yodeling']",honky tonk,Country,1951
59,How High The Moon,Les Paul & Mary Ford,The Hit Makers,42,12,https://open.spotify.com/track/0onHzLoj8yQbjbHtJzwjBx,0.687,0.695,-9.567,0.817,0.582,0.178,118.88,False,0.00914,127267,['space age pop'],space age pop,Pop,1951
60,"It Ain't The Meat, It's The Motion",The Swallows,Dearest,38,24,https://open.spotify.com/track/5DowgjLju7riW4EXaZfdTZ,0.861,0.67,-10.512,0.834,0.357,0.0828,149.257,False,6.14e-05,156653,['rhythm and blues'],rhythm and blues,R&B,1951
61,Chains Of Love,Big Joe Turner,"Flip, Flop And Fly 1951-1955",5,27,https://open.spotify.com/track/7Go8FYyV1Q74TXEt93juLp,0.94,0.314,-6.905,0.434,0.472,0.171,199.616,False,0.00342,203027,"['blues', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'traditional blues']",jump blues,Blues,1951
62,Black Night,Charles Brown,The Best Of Charles Brown: Driftin' Blues,28,20,https://open.spotify.com/track/25Uu8F4HN4bX9PwAkmro9n,0.981,0.457,-17.174,0.379,0.119,0.119,65.395,False,0.5,188867,"['jazz blues', 'piano blues']",piano blues,Blues,1951
63,I'm In The Mood,John Lee Hooker,The Real Folk Blues,58,9,https://open.spotify.com/track/6iQ0OIxisPxhzEICEXtaWS,0.507,0.601,-18.675,0.656,0.19,0.18,202.294,False,5.49e-05,167360,"['blues', 'blues rock', 'delta blues', 'electric blues', 'memphis blues', 'traditional blues']",blues rock,Blues,1951
64,I Can't Help It (If I'm Still In Love With You),Drifting Cowboys,The Complete Hank Williams,26,225,https://open.spotify.com/track/0ObICHTvHYes6OEEn8jSLQ,0.746,0.682,-10.585,0.65,0.204,0.313,116.082,False,0.0,143360,"['country', 'honky tonk', 'traditional country', 'yodeling']",honky tonk,Country,1951
65,Booted,Rosco Gordon,The Chess Story 1947-1956,31,131,https://open.spotify.com/track/3mKwsHWqKv7mzVpZZwPsPH,0.897,0.729,-10.574,0.699,0.436,0.345,111.085,False,0.0,184667,"['memphis blues', 'rhythm and blues']",rhythm and blues,R&B,1951
66,Fool Fool Fool,The Clovers,Dance Party,15,12,https://open.spotify.com/track/2JUy9z8u8rxddAEGCAzpec,0.645,0.519,-14.65,0.754,0.0825,0.101,78.755,False,0.0,153533,"['doo-wop', 'rhythm and blues', 'rock-and-roll']",rhythm and blues,R&B,1951
67,How Many More Years,Howlin' Wolf,Moanin' In The Moonlight,46,12,https://open.spotify.com/track/0MkINaEoNBJfG9G6ewd4xM,0.926,0.657,-12.98,0.737,0.642,0.12,110.543,False,0.0165,163027,"['acoustic blues', 'blues', 'chicago blues', 'delta blues', 'harmonica blues', 'memphis blues', 'traditional blues']",blues,Blues,1951
68,Lovin' Machine,Wynonie Harris,Lovin' Machine,38,26,https://open.spotify.com/track/3UV8u4aqSU60xR4l7wYzYX,0.344,0.545,-7.902,0.854,0.788,0.083,162.53,False,0.0,145444,"['jump blues', 'rhythm and blues']",rhythm and blues,R&B,1951
69,The Train Kept-a-Rollin',Tiny Bradshaw,The Train Kept-a-Rollin',2,1,https://open.spotify.com/track/12tUUMiU28zuBAVCklvMlA,0.686,0.536,-9.843,0.731,0.547,0.345,146.933,False,0.0,170613,"['jump blues', 'rhythm and blues']",rhythm and blues,R&B,1951
70,I Got Loaded,Peppermint Harris,Greatest Blues Licks,18,30,https://open.spotify.com/track/282yXzf9v9zlTvzgDf8fJq,0.952,0.67,-14.418,0.596,0.189,0.113,143.329,False,0.00843,146800,['jump blues'],jump blues,Blues,1951
71,My Baby Left Me - Remastered 2003,"Arthur ""Big Boy"" Crudup",Rock Me Mama - When The Sun Goes Down Series,36,22,https://open.spotify.com/track/5WgAbfjSEt2ycl9N2pgUzz,0.81,0.788,-11.888,0.843,0.526,0.0975,108.29,False,0.0,141267,"['acoustic blues', 'blues', 'chicago blues', 'delta blues', 'traditional blues']",blues,Blues,1951
72,Still A Fool,Muddy Waters,The Chess Box,27,72,https://open.spotify.com/track/1IS6IcuoQpQSZIGdKoUsPJ,0.923,0.586,-13.055,0.5,0.122,0.097,183.89,False,0.000123,200107,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",blues rock,Blues,1951
73,Unforgettable,Nat King Cole,Unforgettable,72,12,https://open.spotify.com/track/648TTtYB0bH0P8Hfy0FmkL,0.92,0.349,-13.507,0.178,0.182,0.143,136.094,False,0.0152,191973,"['adult standards', 'lounge', 'soul', 'swing', 'vocal jazz']",lounge,Jazz,1951
74,Baby Please Don't Go,The Orioles,Forgive and Forget,1,27,https://open.spotify.com/track/4DMG2bVMIfMgT18ICXD3Ny,0.928,0.541,-3.95,0.85,0.7,0.266,111.365,False,2.34e-05,141733,"['rhythm and blues', 'vocal harmony group']",vocal harmony group,Easy Listening,1951
75,Bloodshot Eyes,Wynonie Harris,Lovin' Machine,38,26,https://open.spotify.com/track/4w873lwWDABniYU2MOaXYQ,0.381,0.558,-7.904,0.96,0.509,0.295,176.641,False,0.0,160827,"['jump blues', 'rhythm and blues']",rhythm and blues,R&B,1951
76,Eyesight to the Blind,Sonny Boy Williamson II,King Biscuit Time,22,18,https://open.spotify.com/track/57IzbgRCwf1MtmUWnxNa4h,0.99,0.586,-7.943,0.709,0.679,0.283,100.101,False,0.636,184040,"['acoustic blues', 'blues', 'chicago blues', 'country blues', 'delta blues', 'harmonica blues', 'traditional blues']",blues,Blues,1951
77,Long Distance Call,Muddy Waters,The Chess Box,35,72,https://open.spotify.com/track/21SJZoN35oJCD2MS6PRgvd,0.817,0.499,-15.378,0.56,0.189,0.213,183.168,False,3.79e-05,161027,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",blues rock,Blues,1951
78,I Apologize,Billy Eckstine,Verve Jazz Masters 22: Billy Eckstine,22,16,https://open.spotify.com/track/184kqbmjYJoWXwaqNk7BWT,0.952,0.185,-10.074,0.201,0.367,0.0648,170.41,False,0.0475,171987,"['swing', 'vocal jazz']",vocal jazz,Jazz,1951
79,Smooth Sailing,Ella Fitzgerald,Lullabies Of Birdland,45,11,https://open.spotify.com/track/6vubuLvaXL1bO4hQbAzG2E,0.806,0.564,-6.656,0.544,0.465,0.0868,118.713,False,0.0,186027,"['adult standards', 'jazz', 'jazz blues', 'soul', 'swing', 'vocal jazz']",jazz,Jazz,1951
80,The Deacon Moves On,Esther Phillips,Better Beware,5,20,https://open.spotify.com/track/76g8kn162M4rrHTTRbCTo2,0.605,0.623,-8.925,0.815,0.433,0.0449,79.341,False,0.0,166573,"['jazz blues', 'rhythm and blues']",rhythm and blues,R&B,1951
81,Walking the Chalk Line,Tiny Bradshaw,The Henry Glover Story Pt. 2 - It Ain't the Meat (It's the Motion),3,31,https://open.spotify.com/track/1SZ4kMoRoyFw6JHXNZAj9r,0.747,0.743,-4.406,0.719,0.687,0.104,147.394,False,1.76e-05,170120,"['jump blues', 'rhythm and blues']",rhythm and blues,R&B,1951
82,Pretty Baby Blues,Tampa Red,Tampa Red Vol. 14 1949-1951,2,23,https://open.spotify.com/track/45pR7M5fxxyvukM4szGDjd,0.951,0.502,-11.737,0.743,0.297,0.0978,69.709,False,7.13e-06,183458,"['acoustic blues', 'chicago blues', 'country blues', 'traditional blues']",chicago blues,Blues,1951
83,I Am With You (05-14-51),Billy Ward,1950-1953,1,24,https://open.spotify.com/track/1ajgI9dmQJoxPByfk4dULX,0.954,0.543,-9.36,0.41,0.308,0.151,66.074,False,0.00209,186280,['vocal harmony group'],vocal harmony group,Easy Listening,1951
