,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
480,Come Together ,The Beatles,Abbey Road (Remastered),81,17,https://open.spotify.com/track/2EqlS6tkEnglzr7tkKAAYD,0.0302,0.533,-11.913,0.187,0.376,0.0926,165.007,False,0.248,259947,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",british invasion,Rock,1969
481,I Can't Get Next To You,The Temptations,Puzzle People,56,11,https://open.spotify.com/track/6aL6pPBaTMGgM558mplSnj,0.575,0.693,-12.909,0.699,0.687,0.398,108.854,False,0.0,174933,"memphis soul, motown, soul",motown,R&B,1969
482,Fortunate Son,Creedence Clearwater Revival,Willy And The Poor Boys (Expanded Edition),88,13,https://open.spotify.com/track/4BP3uh0hFLFRb5cjsgLqDh,0.201,0.64,-7.516,0.663,0.663,0.152,132.77,False,0.00806,140773,"classic rock, country rock, rock, southern rock, swamp rock",country rock,Rock,1969
483,Here Comes The Sun ,The Beatles,Abbey Road (Remastered),87,17,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,0.0339,0.557,-10.484,0.394,0.54,0.179,129.171,False,0.00248,185733,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",british invasion,Rock,1969
484,It's Your Thing,The Isley Brothers,It's Our Thing,64,19,https://open.spotify.com/track/3ZxfehzRtB3oJcBuxWXFZQ,0.0727,0.376,-9.273,0.837,0.67,0.0718,185.503,False,2.52e-06,169293,"classic soul, funk, motown, quiet storm, soul",funk,Funk,1969
485,My Way,Frank Sinatra,My Way (Expanded Edition),76,12,https://open.spotify.com/track/3spdoTYpuCpmq19tuD0bOe,0.7,0.401,-7.458,0.229,0.381,0.122,75.454,False,0.0,276800,"adult standards, easy listening, lounge",easy listening,Pop,1969
486,Space Oddity ,David Bowie,David Bowie (aka Space Oddity) [2015 Remaster],75,9,https://open.spotify.com/track/72Z17vmmeQKAg8bptWvpVG,0.0726,0.31,-13.664,0.466,0.403,0.139,134.48,False,9.27e-05,318027,"art rock, classic rock, glam rock, permanent wave, rock",classic rock,Rock,1969
487,Popcorn,Hot Butter,28 Big Ones,52,28,https://open.spotify.com/track/45aoC0yE3RZGWz5QPb41M1,0.0425,0.784,-14.617,0.952,0.627,0.0645,136.879,False,0.717,151440,"early synthpop, moog",moog,Rock,1969
488,I Want To Take You Higher,Sly & The Family Stone,Greatest Hits,32,12,https://open.spotify.com/track/4aX7pY8AV7oKCcCB5Sfqrs,0.0771,0.612,-10.329,0.508,0.835,0.228,102.793,False,0.645,321387,"classic soul, funk, funk rock, p funk, psychedelic soul, soul, southern soul",funk,Funk,1969
489,Yester,Stevie Wonder,My Cherie Amour,55,12,https://open.spotify.com/track/0l9RGwc48deJ6j61KXAAvs,0.0311,0.604,-11.419,0.638,0.357,0.0927,100.721,False,0.0,185293,"motown, soul",soul,Soul,1969
490,Heartbreaker ,Led Zeppelin,Led Zeppelin II (1994 Remaster),68,9,https://open.spotify.com/track/6WE7jSshLCuVKoCmobVKVf,0.0746,0.403,-9.366,0.654,0.709,0.132,97.161,False,0.494,254133,"album rock, classic rock, hard rock, rock",classic rock,Rock,1969
491,Thank You (Falettinme Be Mice Elf Agin) ,Sly & The Family Stone,Greatest Hits,62,12,https://open.spotify.com/track/74iQ3gahRTOGc19bYadBE3,0.296,0.9,-12.683,0.897,0.709,0.0863,105.822,False,0.00047,291320,"classic soul, funk, funk rock, p funk, psychedelic soul, soul, southern soul",funk,Funk,1969
492,Get Back ,The Beatles,Let It Be (Remastered),70,12,https://open.spotify.com/track/4MLBqAEzNN89o2M9h92Z26,0.492,0.761,-9.836,0.332,0.592,0.61,123.095,False,0.00626,189387,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",british invasion,Rock,1969
493,Black Magic Woman,Santana,Ultimate Santana,64,18,https://open.spotify.com/track/4nmne9J3YCEdhvjTzwiAgu,0.679,0.497,-7.102,0.633,0.552,0.089,124.359,False,0.0314,195867,"blues rock, classic rock, mexican classic rock",classic rock,Rock,1969
494,The Thrill Is Gone,B.B. King,Completely Well,66,9,https://open.spotify.com/track/4NQfrmGs9iQXVQI9IpRhjM,0.344,0.547,-8.759,0.543,0.46,0.0983,90.768,False,0.442,324733,"blues, blues rock, classic rock, electric blues, jazz blues, soul blues, traditional blues",blues rock,Blues,1969
495,Spirit In The Sky,Norman Greenbaum,Spirit In The Sky,79,17,https://open.spotify.com/track/0jvN7eQJJt4nxQzgQfZ1SP,0.0994,0.609,-7.091,0.543,0.617,0.118,128.903,False,0.00404,242893,classic rock,classic rock,Rock,1969
496,The Boxer,Simon & Garfunkel,Bridge Over Troubled Water,74,11,https://open.spotify.com/track/76TZCvJ8GitQ2FA1q5dKu0,0.702,0.439,-14.464,0.629,0.488,0.16,93.017,False,0.000339,308520,"classic rock, folk, folk rock, melancholia, mellow gold, rock, soft rock",folk,Folk,1969
497,Give Me Just A Little More Time,Chairmen Of The Board,Soul Agenda,48,20,https://open.spotify.com/track/6qbtTps7ZebLrWtqtu1joj,0.0635,0.583,-11.166,0.612,0.457,0.0716,126.555,False,5.48e-06,160240,"beach music, classic soul, motown",classic soul,Soul,1969
498,Stand!,Sly & The Family Stone,Stand,37,13,https://open.spotify.com/track/68DqLs1hv7zI08EBvu53wV,0.214,0.609,-9.726,0.517,0.788,0.191,108.694,False,2.44e-06,187533,"classic soul, funk, funk rock, p funk, psychedelic soul, soul, southern soul",funk,Funk,1969
499,Cissy Strut,The Meters,The Meters,66,12,https://open.spotify.com/track/0WSlOSMLJWoWUpWci9nnRb,0.172,0.507,-12.732,0.708,0.763,0.324,176.193,False,0.886,186853,"funk, instrumental soul, jazz funk, new orleans funk, soul",instrumental soul,Soul,1969
500,Kick Out the Jams,MC5,Kick Out The Jams (Live),52,8,https://open.spotify.com/track/1cLfXnBwTFuRngRZfQeLof,0.00407,0.316,-3.491,0.723,0.921,0.37,145.559,False,0.0,160533,"detroit rock, garage rock, proto-metal, protopunk, punk",garage rock,Rock,1969
501,Venus,Shocking Blue,At Home,67,15,https://open.spotify.com/track/0Z3xhSOhrawLV81YdiDiiJ,0.462,0.691,-6.47,0.957,0.762,0.0804,128.111,False,0.0286,187533,nederpop,nederpop,Pop,1969
502,Born On The Bayou,Creedence Clearwater Revival,Bayou Country (Expanded Edition),69,11,https://open.spotify.com/track/587bVBCHYW5Q2VNRLig4AS,0.0553,0.656,-7.734,0.576,0.601,0.0974,117.296,False,0.0667,315200,"classic rock, country rock, rock, southern rock, swamp rock",country rock,Rock,1969
503,Someday We'll Be Together,Diana Ross & The Supremes,Cream Of The Crop,58,11,https://open.spotify.com/track/79Yk6AlSKi5dxDFINID2hS,0.14,0.678,-12.454,0.795,0.535,0.0596,107.041,False,2.17e-06,211667,"classic girl group, motown",motown,R&B,1969
504,Twenty Five Miles,Edwin Starr,25 Miles,56,12,https://open.spotify.com/track/0vstoapfzoOlqD8zurG2uJ,0.0595,0.814,-7.376,0.964,0.836,0.224,124.567,False,1.49e-05,198213,"classic soul, motown, northern soul, soul, southern soul",motown,R&B,1969
505,No Time,The Guess Who,American Woman,53,10,https://open.spotify.com/track/29HbvYjzl95cYA4wGIhFCd,0.323,0.477,-6.348,0.593,0.693,0.192,127.555,False,2.13e-06,229907,"album rock, classic canadian rock, classic rock, country rock, folk rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",classic canadian rock,Rock,1969
506,Something In The Air,Thunderclap Newman,Hollywood Dream (Expanded Edition),55,18,https://open.spotify.com/track/0emd9tHSVP4dK6UG4pcOFD,0.307,0.506,-11.743,0.54,0.402,0.0814,94.221,False,1.25e-05,234360,classic uk pop,classic uk pop,Pop,1969
507,Can't Find My Way Home,Blind Faith,Blind Faith,57,6,https://open.spotify.com/track/107K6xieSp2ihzoA2vTv2q,0.858,0.561,-17.417,0.579,0.257,0.0949,88.276,False,0.00185,196133,"blues, blues rock, british blues, classic rock, country rock, electric blues, folk rock, mellow gold, roots rock, singer-songwriter, southern rock, supergroup",blues rock,Blues,1969
508,Feelin' Alright,Joe Cocker,With A Little Help From My Friends,67,12,https://open.spotify.com/track/0Jl5bIEve3A4axcjY3EgDZ,0.625,0.535,-10.142,0.895,0.824,0.299,90.12,False,0.0379,250840,"album rock, blues rock, classic rock, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",blues rock,Rock,1969
509,Give It Up Or Turnit A Loose ,James Brown & The J.B.'s,In The Jungle Groove,45,9,https://open.spotify.com/track/5hyinpdAW0ov09P4Q2cert,0.0386,0.698,-14.111,0.776,0.722,0.0919,114.847,False,0.548,370200,"funk, soul",soul,Soul,1969
510,In the Ghetto,Elvis Presley,From Elvis in Memphis,70,16,https://open.spotify.com/track/7KWoeBqSdZHEloYKVxssfG,0.716,0.404,-16.688,0.491,0.266,0.107,88.916,False,0.133,167413,"rock-and-roll, rockabilly",rockabilly,Rock,1969
511,"Lay, Lady, Lay",Bob Dylan,Nashville Skyline,66,10,https://open.spotify.com/track/4uYwlMp841PLJmj1gJJwIq,0.356,0.52,-21.976,0.407,0.179,0.131,155.746,False,0.00344,197093,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",country rock,Rock,1969
512,Black Pearl,Sonny Charles And The Checkmates Ltd,Love Is All We Have To Give,34,6,https://open.spotify.com/track/0I1M0ETI5gHAHe2dwrdrlm,0.813,0.378,-6.016,0.804,0.759,0.584,95.121,False,0.532,207227,rhythm and blues,rhythm and blues,R&B,1969
513,My Cherie Amour,Stevie Wonder,My Cherie Amour,69,12,https://open.spotify.com/track/5ZoDwIP1ntHwciLjydJ8X2,0.228,0.574,-11.343,0.514,0.507,0.279,101.085,False,4.57e-06,173307,"motown, soul",soul,Soul,1969
514,Say It Loud ,James Brown,The 50th Anniversary Collection,43,50,https://open.spotify.com/track/5h8ve1B7Gr3k4W0WXAgLxE,0.386,0.85,-6.323,0.926,0.66,0.0449,115.076,False,0.00235,167187,"funk, soul",soul,Soul,1969
515,I Want You (She's So Heavy) ,The Beatles,Abbey Road (Remastered),65,17,https://open.spotify.com/track/3Z25k4ZF6QENy2d9YatsM5,0.0233,0.37,-9.487,0.42,0.515,0.0966,115.732,False,0.205,467320,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",british invasion,Rock,1969
516,What Does It Take (To Win Your Love),Jr. Walker & The All Stars,Motown Legends: What Does It Take (To Win Your Love)?,28,11,https://open.spotify.com/track/139mo0Xj2QJ9OMA6UFZgJe,0.151,0.636,-10.071,0.792,0.544,0.123,111.342,False,0.0,144640,"classic soul, motown, soul, southern soul",motown,R&B,1969
517,Love Man,Otis Redding,Love Man,63,12,https://open.spotify.com/track/16dz1n3ctolQbuZPtvHVqH,0.197,0.588,-9.088,0.937,0.611,0.0518,149.141,False,8.79e-05,139493,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz",memphis soul,Soul,1969
518,Sing a Simple Song ,Sly & The Family Stone,Stand,40,13,https://open.spotify.com/track/3QbfWiLvHcAMYmdRPd9WnX,0.327,0.463,-10.387,0.735,0.693,0.236,100.965,False,2.76e-06,235827,"classic soul, funk, funk rock, p funk, psychedelic soul, soul, southern soul",funk,Funk,1969
519,Kool & The Gang,Kool & The Gang,Kool And The Gang,35,10,https://open.spotify.com/track/3GdvI6fsbGQXkYR2xoMLQ3,0.235,0.61,-10.137,0.704,0.782,0.239,135.504,False,0.388,178013,"disco, funk, motown, soul",funk,Funk,1969
520,Evil Ways,Santana,Santana (Legacy Edition),66,25,https://open.spotify.com/track/5tmrnhMxx39jnu3kjopMdP,0.22,0.704,-13.382,0.73,0.528,0.14,117.472,False,0.35,238267,"blues rock, classic rock, mexican classic rock",classic rock,Rock,1969
521,The Night They Drove Old Dixie Down,The Band,The Band,65,12,https://open.spotify.com/track/2nvcTDmZkRWKNMAL29sLHo,0.542,0.505,-9.272,0.484,0.483,0.222,125.839,False,0.0,211787,"blues rock, classic canadian rock, classic rock, cosmic american, country rock, folk, folk rock, heartland rock, jam band, mellow gold, rock, roots rock, swamp rock",classic canadian rock,Rock,1969
522,"Sugar, Sugar",The Archies,"The Very Best Of ""The Archies""",68,16,https://open.spotify.com/track/3iSws76HjaU7k49EqJVTfF,0.466,0.736,-2.786,0.967,0.871,0.108,122.395,False,0.0,167187,"bubblegum pop, classic canadian rock, rock-and-roll",classic canadian rock,Rock,1969
523,Aquarius/Let The Sunshine In (The Flesh Failures) ,The 5th Dimension,The Age Of Aquarius,63,13,https://open.spotify.com/track/0HZlND4giwzgolBpaNIRGV,0.445,0.293,-6.098,0.514,0.74,0.0998,118.225,False,0.00152,289293,"adult standards, bubblegum pop, folk rock, mellow gold, motown, singer-songwriter, soft rock, sunshine pop",bubblegum pop,Pop,1969
524,War,Edwin Starr,War And Peace,66,12,https://open.spotify.com/track/4ZEEcEMGjkWOfZNBcIB9yE,0.0939,0.59,-12.484,0.736,0.671,0.248,109.333,False,0.0,200267,"classic soul, motown, northern soul, soul, southern soul",motown,R&B,1969
