,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
578,A Glass Of Champagne,Sailor,Sailor's Greatest Hits,48,16,https://open.spotify.com/track/3lm0QsdpQrypDUbHexpVWK,0.21,0.561,-11.333,0.963,0.719,0.428,137.93,False,0.000476,154173,classic uk pop,classic uk pop,Pop,1975
579,I Can Help,Billy Swan,I Can Help,47,10,https://open.spotify.com/track/0DMmXYU7SgAGFJak6OSdXb,0.313,0.518,-7.135,0.527,0.743,0.158,125.439,False,0.0146,240040,swamp pop,swamp pop,Pop,1975
580,Midnight Blue,Melissa Manchester,Melissa,47,10,https://open.spotify.com/track/0N3qcAXZM06zaTKm7JCtIh,0.737,0.449,-12.145,0.316,0.381,0.0625,90.26,False,0.429,235000,"soft rock, yacht rock",yacht rock,Rock,1975
581,Ms. Grace,The Tymes,Trustmaker,46,9,https://open.spotify.com/track/1LPCESFhMbgMaQjRG5dm9P,0.41,0.484,-7.668,0.667,0.772,0.148,116.858,False,0.0,206360,"beach music, classic soul, doo-wop, motown, philly soul, rhythm and blues",classic soul,Soul,1975
582,Island Girl,Elton John,Rock Of The Westies,45,10,https://open.spotify.com/track/1H7x0bYvO4rwUOb8fQXfEk,0.114,0.7,-8.46,0.39,0.895,0.171,139.911,False,6.76e-06,222067,"glam rock, mellow gold, piano rock, rock",mellow gold,Pop,1975
583,Love Machine,The Miracles  & Billy Griffin,City Of Angels (Expanded Edition),45,11,https://open.spotify.com/track/2j4k2Q2SGEijVhTv8pycv2,0.165,0.739,-4.52,0.721,0.984,0.0294,144.877,False,0.000287,415133,"classic soul, motown, quiet storm, rhythm and blues, soul",motown,R&B,1975
584,I Write The Songs,Barry Manilow,The Greatest Songs Of The Seventies,45,18,https://open.spotify.com/track/5VU6nvX3BqkqBmOJ2d9vhW,0.835,0.397,-8.553,0.423,0.381,0.0829,148.649,False,0.0,239187,"adult standards, mellow gold, soft rock, yacht rock",mellow gold,Pop,1975
585,Let's Do It Again,The Staple Singers,Faith And Grace: A Family Journey 1953-1976,45,80,https://open.spotify.com/track/4KLGU4WmcXXEbDfQmpYSAP,0.323,0.64,-10.335,0.823,0.559,0.0512,80.286,False,6.01e-06,290493,"chicago soul, classic soul, memphis soul, soul, southern soul",classic soul,Soul,1975
586,Rhinestone Cowboy ,Glen Campbell,The Legacy (1961-2017),45,78,https://open.spotify.com/track/7gZD8Ime7bhJI8Do6AiYT8,0.287,0.665,-9.873,0.77,0.556,0.115,115.083,False,4.17e-05,195467,"adult standards, arkansas country, classic country pop, folk rock, mellow gold, nashville sound, singer-songwriter, soft rock",arkansas country,Country,1975
587,He Don't Love You (Like I Love You),Tony Orlando & Dawn,He Don't Love You,44,10,https://open.spotify.com/track/0XaaoZUWQFzcFiQbXKhABU,0.287,0.637,-12.378,0.805,0.55,0.345,119.303,False,1.85e-05,219947,"adult standards, bubblegum pop, classic country pop, mellow gold, soft rock",bubblegum pop,Pop,1975
